item_id,timestamp,target_value,location
1,2021-10-02 00:15:00,481.764,13.066_80.268
1,2021-10-02 00:30:00,453.119,13.066_80.268
1,2021-10-02 00:45:00,509.777,13.066_80.268
1,2021-10-02 01:00:00,564.748,13.066_80.268
1,2021-10-02 01:15:00,512.405,13.066_80.268
1,2021-10-02 01:30:00,502.669,13.066_80.268
1,2021-10-01 00:15:00,464.298,13.066_80.268
1,2021-10-01 00:30:00,446.629,13.066_80.268
1,2021-10-01 00:45:00,505.837,13.066_80.268
1,2021-10-01 01:00:00,549.605,13.066_80.268
1,2021-10-01 01:15:00,531.406,13.066_80.268
1,2021-10-01 01:30:00,513.425,13.066_80.268
1,2021-10-01 01:45:00,546.835,13.066_80.268
1,2021-10-01 02:00:00,544.695,13.066_80.268
1,2021-10-01 02:15:00,511.777,13.066_80.268
1,2021-10-01 02:30:00,519.591,13.066_80.268
1,2021-10-01 02:45:00,547.272,13.066_80.268
1,2021-10-01 03:00:00,552.972,13.066_80.268
1,2021-10-01 03:15:00,448.086,13.066_80.268
1,2021-10-01 03:30:00,463.646,13.066_80.268
1,2021-10-01 03:45:00,538.431,13.066_80.268
1,2021-10-01 04:00:00,549.384,13.066_80.268
1,2021-10-01 04:15:00,499.429,13.066_80.268
1,2021-10-01 04:30:00,506.243,13.066_80.268
1,2021-10-01 04:45:00,519.979,13.066_80.268
1,2021-10-01 05:00:00,536.366,13.066_80.268
1,2021-10-01 05:15:00,447.410,13.066_80.268
1,2021-10-01 05:30:00,458.665,13.066_80.268
1,2021-10-01 05:45:00,478.705,13.066_80.268
1,2021-10-01 06:00:00,559.648,13.066_80.268
1,2021-10-01 06:15:00,499.103,13.066_80.268
1,2021-10-01 06:30:00,461.758,13.066_80.268
1,2021-10-01 06:45:00,530.326,13.066_80.268
1,2021-10-01 07:00:00,513.900,13.066_80.268
1,2021-10-01 07:15:00,513.960,13.066_80.268
1,2021-10-01 07:30:00,503.657,13.066_80.268
1,2021-10-01 07:45:00,511.230,13.066_80.268
1,2021-10-01 08:00:00,482.809,13.066_80.268
1,2021-10-01 08:15:00,493.817,13.066_80.268
1,2021-10-01 08:30:00,499.285,13.066_80.268
1,2021-10-01 08:45:00,538.198,13.066_80.268
1,2021-10-01 09:00:00,550.422,13.066_80.268
1,2021-10-01 09:15:00,434.414,13.066_80.268
1,2021-10-01 09:30:00,398.208,13.066_80.268
1,2021-10-01 09:45:00,424.202,13.066_80.268
1,2021-10-01 10:00:00,408.035,13.066_80.268
1,2021-10-01 10:15:00,390.884,13.066_80.268
1,2021-10-01 10:30:00,377.489,13.066_80.268
1,2021-10-01 10:45:00,418.929,13.066_80.268
1,2021-10-01 11:00:00,406.220,13.066_80.268
1,2021-10-01 11:15:00,356.054,13.066_80.268
1,2021-10-01 11:30:00,370.051,13.066_80.268
1,2021-10-01 11:45:00,398.197,13.066_80.268
1,2021-10-01 12:00:00,377.326,13.066_80.268
1,2021-10-01 12:15:00,354.091,13.066_80.268
1,2021-10-01 12:30:00,360.137,13.066_80.268
1,2021-10-01 12:45:00,380.606,13.066_80.268
1,2021-10-01 13:00:00,361.091,13.066_80.268
1,2021-10-01 13:15:00,325.097,13.066_80.268
1,2021-10-01 13:30:00,338.793,13.066_80.268
1,2021-10-01 13:45:00,373.322,13.066_80.268
1,2021-10-01 14:00:00,353.685,13.066_80.268
1,2021-10-01 14:15:00,316.281,13.066_80.268
1,2021-10-01 14:30:00,342.911,13.066_80.268
1,2021-10-01 14:45:00,379.573,13.066_80.268
1,2021-10-01 15:00:00,383.434,13.066_80.268
1,2021-10-01 15:15:00,369.984,13.066_80.268
1,2021-10-01 15:30:00,341.877,13.066_80.268
1,2021-10-01 15:45:00,376.710,13.066_80.268
